experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp1,ekaw-sigkdd,0.046357615894039736,0.6363636363636364,0.08641975308641975,1264,LogMap,7,144,4
exp1,ekaw-sigkdd,0.8,0.7272727272727273,0.761904761904762,386,AML,8,2,3
exp1,iasted-sigkdd,0.08609271523178808,0.8666666666666667,0.1566265060240964,1688,LogMap,13,138,2
exp1,iasted-sigkdd,0.8125,0.8666666666666667,0.8387096774193549,908,AML,13,3,2
exp2,cmt-Conference,0.5,0.06666666666666667,0.11764705882352941,3855,COMA,1,1,14
exp2,cmt-Conference,1.0,0.06666666666666667,0.125,2862,LogMap,1,0,14
exp2,cmt-Conference,1.0,0.13333333333333333,0.23529411764705882,2734,AML,2,0,13
exp2,cmt-confOf,0.0,0.0,0.0,354,COMA,0,2,16
exp2,cmt-confOf,0.0,0.0,0.0,1270,LogMap,0,1,16
exp2,cmt-confOf,0.0,0.0,0.0,307,AML,0,2,16
exp2,cmt-edas,0.6666666666666666,0.15384615384615385,0.25,362,COMA,2,1,11
exp2,cmt-edas,0.5,0.07692307692307693,0.13333333333333336,1404,LogMap,1,1,12
exp2,cmt-edas,1.0,0.15384615384615385,0.2666666666666667,2208,AML,2,0,11
exp2,cmt-ekaw,0.3333333333333333,0.09090909090909091,0.14285714285714288,191,COMA,1,2,10
exp2,cmt-ekaw,0.3333333333333333,0.09090909090909091,0.14285714285714288,917,LogMap,1,2,10
exp2,cmt-ekaw,1.0,0.09090909090909091,0.16666666666666669,655,AML,1,0,10
exp2,cmt-iasted,0.25,0.25,0.25,1172,LogMap,1,3,3
exp2,cmt-iasted,1.0,0.5,0.6666666666666666,1775,AML,2,0,2
exp2,cmt-sigkdd,0.6,0.25,0.35294117647058826,197,COMA,3,2,9
exp2,cmt-sigkdd,0.0,0.0,0.0,889,LogMap,0,4,12
exp2,cmt-sigkdd,0.6666666666666666,0.16666666666666666,0.26666666666666666,400,AML,2,1,10
exp2,conference-confOf,0.0,0.0,0.0,285,COMA,0,1,15
exp2,conference-confOf,0.0,0.0,0.0,873,LogMap,0,4,15
exp2,conference-confOf,0.0,0.0,0.0,364,AML,0,1,15
exp2,conference-edas,0.0,0.0,0.0,354,COMA,0,3,17
exp2,conference-edas,0.0,0.0,0.0,1281,LogMap,0,7,17
exp2,conference-edas,0.0,0.0,0.0,373,AML,0,3,17
exp2,conference-ekaw,0.0,0.0,0.0,172,COMA,0,2,25
exp2,conference-ekaw,0.0,0.0,0.0,813,LogMap,0,7,25
exp2,conference-ekaw,0.0,0.0,0.0,190,AML,0,1,25
exp2,conference-iasted,0.0,0.0,0.0,1253,LogMap,0,7,14
exp2,conference-iasted,0.0,0.0,0.0,458,AML,0,1,14
exp2,conference-sigkdd,0.0,0.0,0.0,188,COMA,0,1,15
exp2,conference-sigkdd,0.0,0.0,0.0,804,LogMap,0,8,15
exp2,conference-sigkdd,0.0,0.0,0.0,203,AML,0,1,15
exp2,edas-ekaw,0.25,0.08695652173913043,0.12903225806451613,140,COMA,2,6,21
exp2,edas-ekaw,0.09090909090909091,0.043478260869565216,0.0588235294117647,812,LogMap,1,10,22
exp2,edas-ekaw,0.6,0.13043478260869565,0.21428571428571427,274,AML,3,2,20
